Date,Type du train,Axe,Départ,Arrivée,Nombre de trains programmés,Nombre de trains annulés,Nombre de trains ayant circulé,Nombre de trains en retard à l'arrivée,Régularité (avec erreurs),Régularité,Commentaires,Comparaison moyenne
2016-08,Intercité,Est Centre,LIMOGES,BORDEAUX ST JEAN,31,0,31,2,"93,5%","93,5%",,mieux
2016-08,TGV,Sud-Est,LYON PART DIEU,PARIS LYON,473,1,472,39,"91,5%","91,5%",,mieux
2016-08,Intercité,Est Centre,LYON PART DIEU,NANTES,58,1,57,8,"84,5%","84,5%",,moins bien
2016-08,TGV,Sud-Est,LYON PART DIEU,MARSEILLE ST CHARLES,526,0,526,103,"80,4%","80,4%",,moins bien
2016-08,TGV,Sud-Est,LYON PART DIEU,MONTPELLIER,351,4,347,65,"80,3%","80,3%",,moins bien
2016-08,TGV,Atlantique,LYON PART DIEU,RENNES,82,0,82,17,"79,3%","79,3%","Ce mois-ci l'OD a été touchée par plusieurs incidents: Le 9 : heurt d’un animal sur la ligne grande vitesse (Massy) (16 TGV ; 430mn) Le 16 : Défaillance matérielle sur la ligne grande vitesse (St Arnoult) (11 TGV ; 405mn) Le 18: dérangement d'installation à Lyon Part Dieu (16 TGV; 459mn) Le 26 : conséquences des fortes chaleurs à Connerré (18 TGV ; 263mn) Le 26 : heurt d’un véhicule à St Pierre la Cour (69 TGV ; 4398mn) Le 31 : Début d’incendie sur un TER à Neau (16 TGV ; 355mn) Le 31 : dérangement d’installation sur la ligne grande vitesse (St Léger) (23 TGV ; 410mn) et plusieurs jours dans le mois, des mesures de limitation de vitesse  entre Connerré et Le Mans et à Rennes dues aux fortes chaleurs",moins bien
2016-08,TGV,Nord,LYON PART DIEU,LILLE,265,0,265,71,"73,2%","73,2%","Les TGV ont principalement été retardés par les conséquences des intempéries (incendie aux abords des voies le 10, intempéries des 17 et 18 ) , à des dérangements d'installations (avarie à la caténaire le 04, panne de signalisation à Lyon le 18,…), la conséquence de travaux sur le nord de Lyon (avec détournement des TGV par Lyon Perrache et difficultés de gestion de ces TGV les 13 et 14) ainsi que divers problèmes liés au Matériel",moins bien
2016-08,TGV,Sud-Est,MACON LOCHE,PARIS LYON,185,0,185,31,"83,2%","83,2%",,moins bien
2016-08,TGV,Sud-Est,MARSEILLE ST CHARLES,PARIS LYON,439,1,438,26,"93,8%","93,8%","Détresse matériel Eurostar, deux incidents",mieux
2016-08,TGV,Sud-Est,MARSEILLE ST CHARLES,LYON PART DIEU,524,1,523,110,"78,8%","78,8%","Détresse matériel Eurostar, deux incidents",moins bien
2016-08,TGV,Nord,MARSEILLE ST CHARLES,LILLE,222,0,222,64,"71,2%","71,2%","Les TGV ont principalement été retardés par les conséquences des intempéries (incendie aux abords des voies le 10, intempéries des 17 et 18 ) , à des dérangements d'installations (avarie à la caténaire le 04, panne de signalisation à Lyon le 18,…), la conséquence de travaux sur le nord de Lyon (avec détournement des TGV par Lyon Perrache et difficultés de gestion de ces TGV les 13 et 14) ainsi que divers problèmes liés au Matériel",moins bien
2016-08,Intercité,Nord-Normandie,MAUBEUGE,PARIS NORD,267,7,260,20,"89,9%","89,9%",,mieux
2016-08,TGV,Est,METZ,PARIS EST,302,0,302,36,"88,1%","88,1%",,moins bien
2016-08,TGV,Sud-Est,MONTPELLIER,PARIS LYON,376,1,375,70,"81,1%","81,1%",Incendies et collision d'un TER avec un arbre,moins bien
2016-08,TGV,Sud-Est,MONTPELLIER,LYON PART DIEU,320,5,315,63,"78,8%","78,8%",,moins bien
2016-08,TGV,Sud-Est,MULHOUSE VILLE,PARIS LYON,307,0,307,8,"97,4%","97,4%",,mieux
